,SetSize,SC,Naive,AllPick,EffAllPick
0,2000,9,10,10,10
1,2000,9,16,10,10
2,2000,9,10,10,10
3,2000,9,10,10,10
4,2000,9,12,10,10
5,3000,9,14,10,10
6,3000,9,10,10,10
7,3000,9,14,10,10
8,3000,9,14,10,10
9,3000,9,12,10,10
10,4000,9,14,10,10
11,4000,9,14,10,10
12,4000,9,10,10,10
13,4000,9,10,10,10
14,4000,9,12,10,10
15,5000,9,12,10,10
16,5000,9,12,10,10
17,5000,9,14,10,12
18,5000,9,10,10,10
19,5000,9,14,10,12
20,6000,9,10,10,10
21,6000,9,10,10,10
22,6000,9,12,10,10
23,6000,9,12,10,10
24,6000,9,12,10,10
25,7000,9,12,10,10
26,7000,9,10,10,10
27,7000,9,12,10,10
28,7000,9,14,10,10
29,7000,9,10,10,10
30,10000,9,10,10,10
31,10000,9,14,10,10
32,10000,9,14,10,12
33,10000,9,10,10,10
34,10000,9,12,10,10
