,SetSize,SC,Naive,EffAllPick
0,10000,15,44,16
1,10000,13,36,16
2,10000,14,44,16
3,10000,14,40,16
4,10000,13,36,16
5,12000,14,48,16
6,12000,13,48,16
7,12000,14,48,16
8,12000,14,44,16
9,12000,14,52,16
10,14000,15,52,16
11,14000,14,28,16
12,14000,13,44,16
13,14000,15,52,16
14,14000,13,48,16
15,16000,13,48,16
16,16000,13,48,16
17,16000,14,52,20
18,16000,14,36,16
19,16000,13,44,16
20,18000,13,40,16
21,18000,16,44,16
22,18000,13,48,20
23,18000,15,52,16
24,18000,13,44,16
25,20000,14,28,16
26,20000,13,48,16
27,20000,14,36,16
28,20000,14,48,16
29,20000,13,24,16
