,SetSize,SC,Naive,AllPick,EffAllPick
0,100,1,4,4,4
1,100,2,4,4,4
2,100,2,8,4,4
3,100,2,8,4,4
4,100,2,4,4,4
5,150,2,8,4,4
6,150,2,4,4,4
7,150,2,8,4,8
8,150,2,4,4,4
9,150,2,8,4,4
10,200,2,4,4,4
11,200,2,8,4,4
12,200,2,4,4,4
13,200,2,8,4,4
14,200,1,4,4,4
15,250,3,12,4,4
16,250,2,4,4,4
17,250,2,8,4,4
18,250,3,8,4,4
19,250,2,8,4,8
20,300,2,8,4,4
21,300,2,4,4,4
22,300,2,8,4,4
23,300,2,8,4,4
24,300,3,8,4,4
25,350,2,8,4,4
26,350,2,4,4,4
27,350,2,8,4,4
28,350,2,8,4,4
29,350,2,4,4,8
30,400,2,8,4,4
31,400,2,4,4,4
32,400,3,8,4,4
33,400,2,8,4,4
34,400,2,4,4,8
