,SetSize,SC,Naive,AllPick,EffAllPick
0,2000,0.8,1.0,1.0,1.0
1,2000,0.125,1.0,1.0,1.0
2,2000,0.8,1.0,1.0,1.0
3,2000,0.8,1.0,1.0,1.0
4,2000,0.5,1.0,1.0,1.0
5,3000,0.2857142857142857,1.0,1.0,1.0
6,3000,0.8,1.0,1.0,1.0
7,3000,0.2857142857142857,1.0,1.0,1.0
8,3000,0.2857142857142857,1.0,1.0,1.0
9,3000,0.5,1.0,1.0,1.0
10,4000,0.2857142857142857,1.0,1.0,1.0
11,4000,0.2857142857142857,1.0,1.0,1.0
12,4000,0.8,1.0,1.0,1.0
13,4000,0.8,1.0,1.0,1.0
14,4000,0.5,1.0,1.0,1.0
15,5000,0.5,1.0,1.0,1.0
16,5000,0.5,1.0,1.0,1.0
17,5000,0.2857142857142857,1.0,1.0,1.0
18,5000,0.8,1.0,1.0,1.0
19,5000,0.2857142857142857,1.0,1.0,1.0
20,6000,0.8,1.0,1.0,1.0
21,6000,0.8,1.0,1.0,1.0
22,6000,0.5,1.0,1.0,1.0
23,6000,0.5,1.0,1.0,1.0
24,6000,0.5,1.0,1.0,1.0
25,7000,0.5,1.0,1.0,1.0
26,7000,0.8,1.0,1.0,1.0
27,7000,0.5,1.0,1.0,1.0
28,7000,0.2857142857142857,1.0,1.0,1.0
29,7000,0.8,1.0,1.0,1.0
30,10000,0.8,1.0,1.0,1.0
31,10000,0.2857142857142857,1.0,1.0,1.0
32,10000,0.2857142857142857,1.0,1.0,1.0
33,10000,0.8,1.0,1.0,1.0
34,10000,0.5,1.0,1.0,1.0
