,SetSize,SC,Naive,AllPick,EffAllPick
0,200,0.14285714285714285,1.0,1.0,1.0
1,200,0.2,1.0,1.0,1.0
2,200,0.6666666666666666,1.0,1.0,1.0
3,200,0.3333333333333333,1.0,1.0,1.0
4,200,0.25,1.0,1.0,1.0
5,500,1.0,1.0,1.0,1.0
6,500,0.16666666666666666,1.0,1.0,1.0
7,500,0.25,1.0,1.0,1.0
8,500,0.5,1.0,1.0,1.0
9,500,0.2,1.0,1.0,1.0
10,750,0.5,1.0,1.0,1.0
11,750,0.2,1.0,1.0,1.0
12,750,0.6666666666666666,1.0,1.0,1.0
13,750,0.5,1.0,1.0,1.0
14,750,0.25,1.0,1.0,1.0
15,1000,0.2,1.0,1.0,1.0
16,1000,0.2,1.0,1.0,1.0
17,1000,0.2,1.0,1.0,1.0
18,1000,0.4,1.0,1.0,1.0
19,1000,0.75,1.0,1.0,1.0
20,1200,0.2,1.0,1.0,1.0
21,1200,0.25,1.0,1.0,1.0
22,1200,0.5,1.0,1.0,1.0
23,1200,1.0,1.0,1.0,1.0
24,1200,0.5,1.0,1.0,1.0
