,SetSize,SC,Naive,EffAllPick
0,1000,0.0,1.0,1.0
1,1000,0.0,1.0,1.0
2,1000,0.0,1.0,1.0
3,1000,0.0,1.0,1.0
4,1000,1.0,1.0,1.0
5,2000,0.5,1.0,1.0
6,2000,0.5,1.0,1.0
7,2000,0.5,1.0,1.0
8,2000,0.0,1.0,1.0
9,2000,0.5,1.0,1.0
10,3000,0.5,1.0,1.0
11,3000,0.0,1.0,1.0
12,3000,0.0,1.0,1.0
13,3000,0.0,1.0,1.0
14,3000,0.5,1.0,1.0
15,4000,0.0,1.0,1.0
16,4000,0.0,1.0,1.0
17,4000,0.0,1.0,1.0
18,4000,0.0,1.0,1.0
19,4000,0.0,1.0,1.0
20,5000,0.0,1.0,1.0
21,5000,0.0,1.0,1.0
22,5000,0.0,1.0,1.0
23,5000,0.0,1.0,1.0
24,5000,0.0,1.0,1.0
