,SetSize,SC,Naive,AllPick,EffAllPick
0,100,0.0,1.0,1.0,1.0
1,100,1.0,1.0,1.0,1.0
2,100,0.0,1.0,1.0,1.0
3,100,0.0,1.0,1.0,1.0
4,100,1.0,1.0,1.0,1.0
5,150,0.0,1.0,1.0,1.0
6,150,1.0,1.0,1.0,1.0
7,150,0.0,1.0,1.0,1.0
8,150,1.0,1.0,1.0,1.0
9,150,0.0,1.0,1.0,1.0
10,200,1.0,1.0,1.0,1.0
11,200,0.0,1.0,1.0,1.0
12,200,1.0,1.0,1.0,1.0
13,200,0.0,1.0,1.0,1.0
14,200,0.0,1.0,1.0,1.0
15,250,0.0,1.0,1.0,1.0
16,250,1.0,1.0,1.0,1.0
17,250,0.0,1.0,1.0,1.0
18,250,0.5,1.0,1.0,1.0
19,250,0.0,1.0,1.0,1.0
20,300,0.0,1.0,1.0,1.0
21,300,1.0,1.0,1.0,1.0
22,300,0.0,1.0,1.0,1.0
23,300,0.0,1.0,1.0,1.0
24,300,0.5,1.0,1.0,1.0
25,350,0.0,1.0,1.0,1.0
26,350,1.0,1.0,1.0,1.0
27,350,0.0,1.0,1.0,1.0
28,350,0.0,1.0,1.0,1.0
29,350,1.0,1.0,1.0,1.0
30,400,0.0,1.0,1.0,1.0
31,400,1.0,1.0,1.0,1.0
32,400,0.5,1.0,1.0,1.0
33,400,0.0,1.0,1.0,1.0
34,400,1.0,1.0,1.0,1.0
